Player Name,Image URL,Team
Ramandeep Singh,https://documents.iplt20.com/ipl/IPLHeadshot2025/991.png,KKR
Rashid Khan,https://documents.iplt20.com/ipl/IPLHeadshot2025/218.png,GT
Mitchell Santner,https://documents.iplt20.com/ipl/IPLHeadshot2025/75.png,MI
Deepak Chahar,https://documents.iplt20.com/ipl/IPLHeadshot2025/91.png,MI
Ravichandran Ashwin,https://documents.iplt20.com/ipl/IPLHeadshot2025/45.png,CSK
Deepak Hooda,https://documents.iplt20.com/ipl/IPLHeadshot2025/215.png,CSK
Mohd Arshad Khan,https://documents.iplt20.com/ipl/IPLHeadshot2025/988.png,GT
Sediqullah Atal,https://www.wisden.com/static-assets/images/players/70227.png?v=23.77,DC
Avesh Khan,https://documents.iplt20.com/ipl/IPLHeadshot2025/109.png,LSG
Harshal Patel,https://documents.iplt20.com/ipl/IPLHeadshot2025/114.png,SRH
Kusal Mendis,https://documents.iplt20.com/ipl/IPLHeadshot2025/276.png,GT
Shardul Thakur,https://documents.iplt20.com/ipl/IPLHeadshot2025/105.png,LSG
Kuldeep Yadav,https://documents.iplt20.com/ipl/IPLHeadshot2025/14.png,DC
Gerald Coetzee,https://documents.iplt20.com/ipl/IPLHeadshot2025/2535.png,GT
Jamie Overton,https://documents.iplt20.com/ipl/IPLHeadshot2025/1216.png,CSK
Anshul Kamboj,https://documents.iplt20.com/ipl/IPLHeadshot2025/3106.png,CSK
Matthew Breetzke,https://documents.iplt20.com/ipl/IPLHeadshot2025/2805.png,LSG
Bhuvneshwar Kumar,https://documents.iplt20.com/ipl/IPLHeadshot2025/15.png,RCB
Atharva Taide,https://documents.iplt20.com/ipl/IPLHeadshot2025/1001.png,SRH
Ravi Bishnoi,https://documents.iplt20.com/ipl/IPLHeadshot2025/520.png,LSG
Harpreet Brar,https://documents.iplt20.com/ipl/IPLHeadshot2025/130.png,PBKS
Xavier Bartlett,https://documents.iplt20.com/ipl/IPLHeadshot2025/3572.png,PBKS
Mohammad Shami,https://documents.iplt20.com/ipl/IPLHeadshot2025/47.png,SRH
Dushmantha Chameera,https://documents.iplt20.com/ipl/IPLHeadshot2025/608.png,DC
Maheesh Theekshana,https://www.rajasthanroyals.com/static-assets/images/players/69274.png?v=7.51,RR
Kagiso Rabada,https://documents.iplt20.com/ipl/IPLHeadshot2025/116.png,GT
Shahbaz Ahmed,https://documents.iplt20.com/ipl/IPLHeadshot2025/523.png,LSG
Wiaan Mulder,https://documents.iplt20.com/ipl/IPLHeadshot2025/630.png,SRH
Wanindu Hasaranga,https://documents.iplt20.com/ipl/IPLHeadshot2025/377.png,RR
Kwena Maphaka,https://documents.iplt20.com/ipl/IPLHeadshot2025/801.png,RR
Raj Angad Bawa,https://documents.iplt20.com/ipl/IPLHeadshot2025/781.png,MI
Tushar Deshpande,https://documents.iplt20.com/ipl/IPLHeadshot2025/539.png,RR
Suryansh Shedge,https://documents.iplt20.com/ipl/IPLHeadshot2025/2146.png,PBKS
Noor Ahmad,https://documents.iplt20.com/ipl/IPLHeadshot2025/975.png,CSK
Akash Deep,https://documents.iplt20.com/ipl/IPLHeadshot2025/1007.png,LSG
Sandeep Sharma,https://documents.iplt20.com/ipl/IPLHeadshot2024/220.png,RR
Mitchell Starc,https://documents.iplt20.com/ipl/IPLHeadshot2025/31.png,DC
Robin Minz,https://documents.iplt20.com/ipl/IPLHeadshot2025/3103.png,MI
Rovman Powell,https://documents.iplt20.com/ipl/IPLHeadshot2025/329.png,KKR
Sai Kishore,https://documents.iplt20.com/ipl/IPLHeadshot2025/544.png,GT
Prince Yadav,https://documents.iplt20.com/ipl/IPLHeadshot2025/1225.png,LSG
Moeen Ali,https://documents.iplt20.com/ipl/IPLHeadshot2025/206.png,KKR
Lockie Ferguson,https://documents.iplt20.com/ipl/IPLHeadshot2025/69.png,PBKS
Yash Dayal,https://documents.iplt20.com/ipl/IPLHeadshot2025/978.png,RCB
Akash Madhwal,https://documents.iplt20.com/ipl/IPLHeadshot2025/1045.png,RR
Madhav Tiwari,https://documents.iplt20.com/ipl/IPLHeadshot2025/3561.png,DC
Mohammed Siraj,https://documents.iplt20.com/ipl/IPLHeadshot2025/63.png,GT
Kumar Kartikeya Singh,https://documents.iplt20.com/ipl/IPLHeadshot2025/1015.png,RR
Simarjeet Singh,https://documents.iplt20.com/ipl/IPLHeadshot2025/622.png,SRH
Fazalhaq Farooqi,https://documents.iplt20.com/ipl/IPLHeadshot2025/1011.png,RR
Trent Boult,https://documents.iplt20.com/ipl/IPLHeadshot2025/66.png,MI
Spencer Johnson,https://documents.iplt20.com/ipl/IPLHeadshot2025/2518.png,KKR
Arshdeep Singh,https://documents.iplt20.com/ipl/IPLHeadshot2025/125.png,PBKS
Varun Chakaravarthy,https://documents.iplt20.com/ipl/IPLHeadshot2025/140.png,KKR
V Satyanarayana Penmetsa,https://documents.iplt20.com/ipl/IPLHeadshot2025/3568.png,MI
Karn Sharma,https://documents.iplt20.com/ipl/IPLHeadshot2025/98.png,MI
Khaleel Ahmed,https://documents.iplt20.com/ipl/IPLHeadshot2025/8.png,CSK
Mohit Sharma,https://documents.iplt20.com/ipl/IPLHeadshot2025/100.png,DC
Donovan Ferreira,https://documents.iplt20.com/ipl/IPLHeadshot2025/2033.png,DC
Digvesh Singh,https://documents.iplt20.com/ipl/IPLHeadshot2025/3565.png,LSG
Manoj Bhandage,https://documents.iplt20.com/ipl/IPLHeadshot2025/1485.png,RCB
